Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Petar Djordjic,SRB,44,LB,0,0,1,1,0,0,0,1,0,0,0,0,7,7,0,0,0,2,0,0,4,26.0,7
Melvyn Richardson,FRA,9,RB,3,1,3,0,0,0,2,1,1,0,1,1,6,7,0,0,0,5,0,0,2,67.0,7
Andre Schmid,SUI,2,CB,0,2,3,1,0,0,2,1,3,0,1,1,10,13,0,0,0,13,1,0,8,147.0,7
Tomas Piroch,CZE,7,RB,0,0,0,1,0,0,7,1,1,0,0,0,2,4,0,0,0,4,0,0,4,134.0,7
Dominik Mathe,HUN,23,RB,3,1,3,0,0,1,1,3,0,0,0,1,7,4,0,1,0,8,1,0,8,52.0,7
Matej Klima,CZE,31,LB,0,0,1,0,0,0,2,0,1,0,1,1,7,9,0,0,0,6,1,0,4,120.0,7
Vasilije Kaludjerovic,MNE,17,LB,0,0,1,1,0,0,0,1,1,0,0,0,3,4,0,1,0,2,1,0,7,69.0,7
Iosif Andrei Buzle,ROU,35,LB,0,0,1,0,0,0,0,1,0,0,0,0,9,12,0,1,0,7,0,0,9,111.0,7
Jakub Hrstka,CZE,2,LW,0,3,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,87.0,7
Markus Mahr,AUT,6,LB,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,8,0,0,3,40.0,7
Hans Lindberg,DEN,18,RW,11,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,7
Mirko Herceg,BIH,5,LB,0,0,2,0,0,0,0,1,0,0,0,0,4,15,0,1,0,3,0,0,8,115.0,7
Gisli Thorgeir Kristjansson,ISL,10,CB,0,0,2,1,0,0,4,2,0,0,0,0,2,4,0,1,0,11,0,0,8,86.0,7
Domagoj Duvnjak,CRO,5,CB,0,0,0,1,0,0,0,0,0,0,1,1,7,3,0,1,0,2,0,1,5,86.0,7
