Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Klemen Ferlin,SLO,26,GK,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,356.0,3
Zoran Ilic,HUN,43,RB,0,0,2,0,0,0,0,0,2,0,0,0,3,3,0,3,0,5,0,1,4,179.0,3
Viran Morros de Argila,ESP,24,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,43.0,3
Vladan Djurdjevic,BIH,36,RW,0,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,83.0,3
Sebastian Hein Barthold,NOR,6,LW,0,0,2,0,5,5,0,0,1,0,1,1,0,0,0,0,0,2,1,0,1,133.0,3
Daniel Dujshebaev Dovichebaeva,ESP,59,LB,0,0,1,0,0,0,0,1,2,0,1,0,0,2,0,0,0,5,2,2,1,92.0,3
Dan Lucian Vasile,ROU,12,GK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.0,3
Tilen Kodrin,SLO,20,LW,0,0,1,1,7,3,0,0,3,0,1,2,0,0,0,2,0,1,1,0,0,291.0,3
Remi Desbonnet,FRA,92,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,167.0,3
Arjan Versteijnen,NED,30,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.0,3
Bozo Andjelic,MNE,32,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,23.0,3
Marvin Lier,SUI,9,LW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,3
Maximilian Gerbl,SUI,27,RW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,3
Eric Damböck,AUT,45,LW,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,23.0,3
Filip Taleski,MKD,11,LB,0,0,1,2,0,0,0,0,1,0,0,0,5,7,0,1,0,3,0,0,3,103.0,3
Nicholas Satchwell,FAR,16,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,3
Jan Hrdlicka,CZE,4,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,3
Urban Lesjak,SLO,90,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,3
Niklas Landin Jacobsen,DEN,1,GK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,229.0,3
Robert Mihai Militaru,ROU,8,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,73.0,3
Martijn Kleijkers,NED,21,LP,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.0,3
Diogo Rêma Marques,POR,16,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.0,3
Nikola Mitrevski,MKD,1,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,3
